Date - Sun, 28 Apr 2024 15:10:45 GMT | Method - GET | URL - /stylesheets/style.css | Status - 304
Date - Sun, 28 Apr 2024 15:10:52 GMT | Method - POST | URL - /users/reg | Status - 200
Date - Sun, 28 Apr 2024 15:11:00 GMT | Method - GET | URL - /users/login | Status - 304
Date - Sun, 28 Apr 2024 15:11:00 GMT | Method - GET | URL - /stylesheets/style.css | Status - 304
Date - Sun, 28 Apr 2024 15:11:53 GMT | Method - GET | URL - /users/reg | Status - 200
Date - Sun, 28 Apr 2024 15:11:53 GMT | Method - GET | URL - /stylesheets/style.css | Status - 304
Date - Sun, 28 Apr 2024 15:12:00 GMT | Method - POST | URL - /users/reg | Status - 302
Date - Sun, 28 Apr 2024 15:12:00 GMT | Method - GET | URL - / | Status - 200
Date - Sun, 28 Apr 2024 15:12:00 GMT | Method - GET | URL - /stylesheets/style.css | Status - 304
Date - Sun, 28 Apr 2024 15:12:24 GMT | Method - GET | URL - /users/login | Status - 304
Date - Sun, 28 Apr 2024 15:12:24 GMT | Method - GET | URL - /stylesheets/style.css | Status - 304
Date - Sun, 28 Apr 2024 15:12:29 GMT | Method - POST | URL - /users/login | Status - 200
Date - Sun, 28 Apr 2024 15:12:29 GMT | Method - GET | URL - /stylesheets/style.css | Status - 304
Date - Sun, 28 Apr 2024 15:12:58 GMT | Method - GET | URL - / | Status - 200
Date - Sun, 28 Apr 2024 15:12:58 GMT | Method - GET | URL - /stylesheets/style.css | Status - 304
Date - Sun, 28 Apr 2024 15:13:00 GMT | Method - GET | URL - /users/register | Status - 404
Date - Sun, 28 Apr 2024 15:13:05 GMT | Method - GET | URL - /users/login | Status - 200
Date - Sun, 28 Apr 2024 15:13:05 GMT | Method - GET | URL - /stylesheets/style.css | Status - 304
Date - Sun, 28 Apr 2024 15:13:09 GMT | Method - GET | URL - /users/register | Status - 404
Date - Sun, 28 Apr 2024 15:13:32 GMT | Method - GET | URL - /users/register | Status - 404
Date - Sun, 28 Apr 2024 15:14:07 GMT | Method - GET | URL - /users/register | Status - 404
Date - Sun, 28 Apr 2024 15:15:09 GMT | Method - GET | URL - / | Status - 200
Date - Sun, 28 Apr 2024 15:15:09 GMT | Method - GET | URL - /stylesheets/style.css | Status - 304
Date - Sun, 28 Apr 2024 15:15:13 GMT | Method - GET | URL - /users/reg | Status - 200
Date - Sun, 28 Apr 2024 15:15:13 GMT | Method - GET | URL - /stylesheets/style.css | Status - 304
Date - Sun, 28 Apr 2024 15:15:24 GMT | Method - POST | URL - /users/reg | Status - 302
Date - Sun, 28 Apr 2024 15:15:24 GMT | Method - GET | URL - / | Status - 304
Date - Sun, 28 Apr 2024 15:15:24 GMT | Method - GET | URL - /stylesheets/style.css | Status - 304
Date - Sun, 28 Apr 2024 15:15:30 GMT | Method - GET | URL - /users/login | Status - 304
Date - Sun, 28 Apr 2024 15:15:30 GMT | Method - GET | URL - /stylesheets/style.css | Status - 304
Date - Sun, 28 Apr 2024 15:15:43 GMT | Method - POST | URL - /users/login | Status - 200
Date - Sun, 28 Apr 2024 15:15:43 GMT | Method - GET | URL - /stylesheets/style.css | Status - 304
Date - Sun, 28 Apr 2024 15:16:20 GMT | Method - GET | URL - /users/login | Status - 200
Date - Sun, 28 Apr 2024 15:16:21 GMT | Method - GET | URL - /stylesheets/style.css | Status - 304
Date - Sun, 28 Apr 2024 15:16:24 GMT | Method - GET | URL - /users/reg | Status - 200
Date - Sun, 28 Apr 2024 15:16:24 GMT | Method - GET | URL - /stylesheets/style.css | Status - 304
Date - Sun, 28 Apr 2024 15:16:35 GMT | Method - POST | URL - /users/reg | Status - 200
Date - Sun, 28 Apr 2024 15:16:35 GMT | Method - GET | URL - /stylesheets/style.css | Status - 304
Date - Sun, 28 Apr 2024 15:17:06 GMT | Method - GET | URL - /users/login | Status - 304
